id,maintainer,created_at,url
jothon,ronnywang,2024-05-05,https://jothon.g0v.tw
digiresi,ronnywang,2024-05-25,https://g0v.hackmd.io/@paulpengtw/DigiResiTh0n-home
congressthon,ronnywang,2024-05-26,https://g0v.hackmd.io/@SA7CD7VRSp6Fcqw9CaElcQ/SJ93ZW5XR/%2FY6A2Ox-YRDS6ixtYw1BuoA
bayarea,ky,2024-05-28,https://g0v.hackmd.io/@bayarea/By0tJvDjn/
rand0mthon,ronnywang,2024-05-29,https://g0v.hackmd.io/@tofus/rand0mth0n
rand0mth0n,paulpengtw,2024-07-27,https://g0v.hackmd.io/@tofus/rand0mth0n
resi,paulpengtw,2024-07-27,https://g0v.hackmd.io/@paulpengtw/DigiResiTh0n-home
merch,chewei,2024-12-19,https://ocf.neticrm.tw/civicrm/event/register?cid=0&reset=1&id=20
event,ronnywang,2024-12-27,https://g0v.hackmd.io/N3EnvC7ATSG-r71zuleuyQ
0104,ronnywang,2025-01-04,https://docs.google.com/spreadsheets/d/15A71Y4Gy4hi2PFwmAENdZojiZR12s1nulCNHKY2ZTjc/edit
privacy,paulpengtw,2025-02-06,https://g0v.hackmd.io/@paulpengtw/r1PZuWvyn
rc25-resi,paulpengtw,2025-02-16,https://airtable.com/appWd48vvxh0VJS1D/shrLERQDlmu6j3jMz
smallschool,yellowsoar,2025-06-20,https://g0v.github.io/small_school_renaissance/
ssr,yellowsoar,2025-06-20,https://g0v.github.io/small_school_renaissance/
ssr-case,yellowsoar,2025-06-20,https://maps.app.goo.gl/zrZRjUGzmKQhwhee7
ssr-dataset,yellowsoar,2025-06-20,https://docs.google.com/spreadsheets/d/16AiaOpquE1gm2PaRTNlJkqWZ3vajcGlkvaTjJ2YWRik/
ssr-note,yellowsoar,2025-06-20,https://g0v.hackmd.io/TG6CtrxyRdudWawzTXfPiw
ssr-repo,yellowsoar,2025-06-20,https://github.com/g0v/small_school_renaissance
ssr-slack,yellowsoar,2025-06-20,https://g0v-tw.slack.com/archives/C08NDP85ASF
ssr-slack-archive,yellowsoar,2025-06-20,https://g0v-slack-archive.g0v.ronny.tw/index/channel/C08NDP85ASF
summit26md,paulpengtw,2025-09-09,https://g0v.hackmd.io/@summit2026/book/
fataan,paulpengtw,2025-10-04,https://g0v.hackmd.io/@yitzu/Fata-an_BarrierLake/
